21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#0	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#1	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#2	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#3	sol_025 winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#4	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#5	sol_025 winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#6	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#7	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#8	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#9	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#10	sol_01 winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#11	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#12	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#13	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#14	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#15	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#16	sol_05 winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#17	sol_025 winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#18	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#19	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#20	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#21	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#22	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#23	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#24	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#25	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#26	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#27	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#28	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#29	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#30	Try next time
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#31	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#32	cowgirl winner
21o3boLec9QyUhwLEJECE97bK4i5pza8CpxpRBcYEAAp	ticket#33	cowgirl winner
29ApfHaSjFFwVWRwQ2prUsLX7zx5ePdDAAYfZcNq4WsB	ticket#34	cowgirl winner
29hG1a6Lkv4cm6s6XTLrz5uMNYxK3ruwN8aEZtqxBWzf	ticket#35	sol_01 winner
2EvFaj53iALdHrGyDwT7dUVmDyewULhKnacjvDqVaGJ1	ticket#36	cowgirl winner
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#37	cowgirl winner
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#38	cowgirl winner
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#39	Try next time
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#40	sol_05 winner
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#41	sol_01 winner
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#42	Try next time
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#43	Try next time
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#44	Try next time
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#45	sol_025 winner
2KbbwkjNMVzV1YWLbjgPRYPJxrMycZFmzAdNGWXJYunn	ticket#46	Try next time
2P3XqTvy54WBwkJViFknoPWb7KHtWgU1NRgZ9DmenHyi	ticket#47	cowgirl winner
2P3XqTvy54WBwkJViFknoPWb7KHtWgU1NRgZ9DmenHyi	ticket#48	cowgirl winner
2gyy7K7YuyX5UWjbux8tXDWbW5SnY4vorwmXfdoohSkG	ticket#49	Try next time
3V5NuUhFwVRE3KdADGoJV4egQvsocmFHjjgXaQZVNkdA	ticket#50	Try next time
3pTQFKAfdT2HxeSBAGDr8uQfNAw5e6vxXouXDB6P5cJ6	ticket#51	cowgirl winner
3rnomSVTkKavunMuQwF9SN9375pQEHfsWUzXmojQ9ebi	ticket#52	Try next time
3rnomSVTkKavunMuQwF9SN9375pQEHfsWUzXmojQ9ebi	ticket#53	sol_05 winner
49SpiHceDFdLZG5LnzS1EfyhEoC9gFmPP4ZbnsBTGRSH	ticket#54	Try next time
49SpiHceDFdLZG5LnzS1EfyhEoC9gFmPP4ZbnsBTGRSH	ticket#55	sol_01 winner
49SpiHceDFdLZG5LnzS1EfyhEoC9gFmPP4ZbnsBTGRSH	ticket#56	Try next time
49SpiHceDFdLZG5LnzS1EfyhEoC9gFmPP4ZbnsBTGRSH	ticket#57	Try next time
49SpiHceDFdLZG5LnzS1EfyhEoC9gFmPP4ZbnsBTGRSH	ticket#58	Try next time
49SpiHceDFdLZG5LnzS1EfyhEoC9gFmPP4ZbnsBTGRSH	ticket#59	Try next time
49aXvvKYjzutbkTE3zoiUtfdgmnroQELx8zKeHLLqeyR	ticket#60	cowgirl winner
4Cc5DqRtV9wcmPJ3keWjd68wjhDAWYvVTB1gsUiPVqmB	ticket#61	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#62	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#63	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#64	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#65	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#66	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#67	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#68	cowboy winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#69	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#70	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#71	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#72	sol_01 winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#73	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#74	sol_01 winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#75	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#76	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#77	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#78	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#79	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#80	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#81	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#82	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#83	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#84	Try next time
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#85	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#86	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#87	cowgirl winner
4EWwg13pBvE5xu7WReBASRBdSxUPZufUv1Gjx9tkyLig	ticket#88	Try next time
4SDycpEMQ1SdNBfgNWXVJUqLp8XLZLWMdcupJudXYA4K	ticket#89	Try next time
4SDycpEMQ1SdNBfgNWXVJUqLp8XLZLWMdcupJudXYA4K	ticket#90	cowboy winner
4gGVmHyo9RY9WwDx3E1ByUf1xLWetn2Gqhq557aTqn6X	ticket#91	cowgirl winner
4gGVmHyo9RY9WwDx3E1ByUf1xLWetn2Gqhq557aTqn6X	ticket#92	cowgirl winner
4gGVmHyo9RY9WwDx3E1ByUf1xLWetn2Gqhq557aTqn6X	ticket#93	Try next time
4gGVmHyo9RY9WwDx3E1ByUf1xLWetn2Gqhq557aTqn6X	ticket#94	Try next time
4gGVmHyo9RY9WwDx3E1ByUf1xLWetn2Gqhq557aTqn6X	ticket#95	cowgirl winner
4gGVmHyo9RY9WwDx3E1ByUf1xLWetn2Gqhq557aTqn6X	ticket#96	cowgirl winner
4j5RXmbPizEhzs2gMhoyYPH7j8nSzc2V6SvTb1MU2xHu	ticket#97	cowgirl winner
